BMU Type,BMU ID,BMU Fuel Type,BMU GSP Group Id,LOC LAT,LOC LONG,BMU Party ID,Trading Unit,PC Flag,PC Status,Transmission Loss Factor,Generation Capacity,Demand Capacity,Exempt Export Flag,Base TU Flag,FPN Flag
2,2__EFLEX002,OTHER,_E,52.2796948219992,-1.97621552847919,Flexitricity Limited,DEFAULT__E,Dynamic,Consumption (C),0.0199884,49.0,0.0,0,1,1
2,2__ESTAT001,OTHER,_E,52.2796948219992,-1.97621552847919,Statkraft Markets Gmbh,DEFAULT__E,Dynamic,Consumption (C),0.0097251,20.0,-2.0,0,1,1
E,E_CHTRY-1,OTHER,_E,53.07677,-2.177474,Conrad Energy (Trading),DEFAULT__E,Consumption (C),Consumption (C),0.0097251,20.0,0.0,1,1,1
2,2__EUKPR001,OTHER,_E,52.2796948219992,-1.97621552847919,UK Power Reserve Limited,DEFAULT__E,Dynamic,Consumption (C),0.0097251,20.0,-2.0,0,1,1
2,2__EFLEX003,OTHER,_E,52.2796948219992,-1.97621552847919,Flexitricity Limited,DEFAULT__E,Dynamic,Consumption (C),0.0097251,49.0,0.0,0,1,1
V,V__EADEL001,OTHER,_E,52.2796948219992,-1.97621552847919,Adela Energy Ltd,Non-TrUnit,Production (P),Production (P),0.0097251,0.0,0.0,0,0,1
V,V__EGAZP001,OTHER,_E,52.9704514903061,-2.16769648323097,SEFE Marketing & Trading LTD,Non-TrUnit,Consumption (C),Consumption (C),0.0148608,0.0,0.0,0,0,1
2,2__ESTAT002,OTHER,_E,52.2796948219992,-1.97621552847919,Statkraft Markets Gmbh,DEFAULT__E,Dynamic,Consumption (C),0.0097251,4.0,0.0,0,1,1
E,E_POTES-1,BATTERY,_F,54.9792809360931,-1.44645087794649,Arenko Cleantech Limited,DEFAULT__F,Consumption (C),Consumption (C),-0.0077906,35.0,-35.0,1,1,1
2,2__FFLEX001,OTHER,_F,54.6654853376983,-1.7377340766302,Flexitricity Limited,DEFAULT__F,Dynamic,Consumption (C),-0.007074,49.0,0.0,0,1,1
2,2__FSTAT001,OTHER,_F,54.6654853376983,-1.7377340766302,Statkraft Markets Gmbh,DEFAULT__F,Dynamic,Consumption (C),-0.0077906,50.0,-2.0,0,1,1
2,2__FSTAT002,OTHER,_F,54.6654853376983,-1.7377340766302,Statkraft Markets Gmbh,DEFAULT__F,Dynamic,Consumption (C),-0.0077906,50.0,-2.0,0,1,1
2,2__FFSEN005,BATTERY,_F,54.6654853376983,-1.7377340766302,F & S Energy Ltd,DEFAULT__F,Dynamic,Consumption (C),-0.0077906,11.779,-23.922,0,1,1
E,E_VKING-2,CCGT,_F,54.608850900761,-1.20087636721511,Whitetower Energy Limited,DEFAULT__F,Production (P),Production (P),0.0221547,50.0,-366.184,1,1,1
2,2__FSTAT003,OTHER,_F,54.6654853376983,-1.7377340766302,Statkraft Markets Gmbh,DEFAULT__F,Dynamic,Consumption (C),-0.007074,50.0,0.0,0,1,1
T,T_WLNYW-1,WIND,_G,54.034616307247,-3.50266570658268,Walney Offshore Windfarms Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,182.0,-2.0,0,0,1
T,T_RRWW-1,WIND,_G,54.8146016203073,-3.64262957250097,RWE Renewables UK Robin Rigg,Non-TrUnit,Production (P),Production (P),-0.0021672,90.0,-6.0,1,0,1
T,T_BOWLW-1,WIND,_G,54.0106763774685,-3.32273035741533,Barrow Offshore Wind Limited,Non-TrUnit,Production (P),Production (P),-0.0088864,90.0,-2.0,1,0,1
T,T_OMNDW-1,WIND,_G,54.0414708803333,-3.35806444546254,Ormonde Energy Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,150.76,0.0,0,0,1
T,T_WLNYO-2,WIND,_G,54.034616307247,-3.50266570658268,Walney Offshore Windfarms Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,183.6,-2.886,0,0,1
T,T_CARR-1,CCGT,_G,53.4369586224557,-2.40821172490019,Carrington Power Ltd,Non-TrUnit,Dynamic,Production (P),-0.002826,470.0,-10.0,0,0,1
T,T_CARR-2,CCGT,_G,53.4369586224557,-2.40821172490019,Carrington Power Ltd,Non-TrUnit,Dynamic,Production (P),-0.002826,470.0,-10.0,0,0,1
T,T_WDNSO-1,WIND,_G,53.98,-3.46,Morecambe Wind Limited,Non-TrUnit,Dynamic,Production (P),-0.0021672,196.848,-5.0,0,0,1
T,T_WDNSO-2,WIND,_G,53.98,-3.46,Morecambe Wind Limited,Non-TrUnit,Dynamic,Production (P),-0.0021672,196.688,-5.0,0,0,1
T,T_WLNYO-3,WIND,_G,54.034616307247,-3.50266570658268,Walney Extension Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,330.0,-3.0,0,0,1
T,T_WLNYO-4,WIND,_G,54.034616307247,-3.50266570658268,Walney Extension Ltd,Non-TrUnit,Dynamic,Production (P),-0.0088864,330.0,-3.94,0,0,1
2,2__GANGE001,OTHER,_G,54.1274635690884,-2.76997515496618,Limejump Energy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,50.0,-2.1,0,1,1
E,E_ROOSB-1,BATTERY,_G,54.1052911894526,-3.18997854383859,CBS ENERGY STORAGE ASSETS LTD,DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,49.0,-49.0,1,1,1
E,E_GOSHS-1,OTHER,_G,53.7067171920374,-2.46760025834573,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,-1.0,1,1,1
E,E_MORFL-1,OTHER,_G,54.1274635690884,-2.76997515496618,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,-1.0,1,1,1
E,E_RAKE-1,OTHER,_G,54.1274635690884,-2.76997515496618,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,-1.0,1,1,1
2,2__GANGE002,OTHER,_G,54.1274635690884,-2.76997515496618,Limejump Energy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,50.0,-6.58,0,1,1
2,2__GLOND001,BATTERY,_G,54.1274635690884,-2.76997515496618,EDF Energy Customers Ltd,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,9.4,-14.6,0,1,1
2,2__GANGE003,OTHER,_G,54.1274635690884,-2.76997515496618,Limejump Energy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,10.321,0.0,0,1,1
2,2__GANGE004,OTHER,_G,54.1274635690884,-2.76997515496618,Limejump Energy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,20.34,0.0,0,1,1
2,2__GLOND002,BATTERY,_G,54.1274635690884,-2.76997515496618,EDF Energy Customers Ltd,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,9.4,-20.8,0,1,1
2,2__GSMAR001,OTHER,_G,54.1274635690884,-2.76997515496618,Smartestenergy Limited,DEFAULT__G,Dynamic,Consumption (C),0.0008159,0.0,0.0,0,1,0
2,2__GSTAT001,OTHER,_G,54.1274635690884,-2.76997515496618,Statkraft Markets Gmbh,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,20.0,-2.0,0,1,1
2,2__GSTAT002,OTHER,_G,54.1274635690884,-2.76997515496618,Statkraft Markets Gmbh,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,20.0,-2.0,0,1,1
V,V__GHABI001,BATTERY,_G,53.7803635191612,-2.64227624621566,Habitat Energy Limited,Non-TrUnit,Consumption (C),Consumption (C),-0.0088864,0.0,0.0,0,0,1
E,E_RDSCR-1,OTHER,_G,53.7823932123836,-2.64323006781514,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,40.0,0.0,1,1,1
E,E_BSPHM-1,OTHER,_G,53.5485820012106,-1.52374888554232,Conrad Energy (Trading),DEFAULT__G,Consumption (C),Consumption (C),-0.0088864,20.0,0.0,1,1,1
V,V__GADEL001,OTHER,_G,54.1274635690884,-2.76997515496618,Adela Energy Ltd,Non-TrUnit,Production (P),Production (P),-0.0088864,0.0,0.0,0,0,1
2,2__GSTAT003,OTHER,_G,54.1274635690884,-2.76997515496618,Statkraft Markets Gmbh,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,20.0,-2.0,0,1,1
2,2__GSMAE001,OTHER,_G,54.1274635690884,-2.76997515496618,Smartestenergy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,19.402,0.0,0,1,1
2,2__GSMAR002,OTHER,_G,54.1274635690884,-2.76997515496618,Smartestenergy Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,0.0,0.0,0,1,1
2,2__GSTAT004,OTHER,_G,54.1274635690884,-2.76997515496618,Statkraft Markets Gmbh,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,20.0,-2.0,0,1,1
2,2__GSTAT005,BATTERY,_G,54.1274635690884,-2.76997515496618,Statkraft Markets Gmbh,DEFAULT__G,Dynamic,Consumption (C),-0.0021672,20.0,-2.0,0,1,1
2,2__GSTAT006,OTHER,_G,54.1274635690884,-2.76997515496618,Statkraft Markets Gmbh,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,6.0,0.0,0,1,1
V,V__GWELS001,OTHER,_G,54.1274635690884,-2.76997515496618,Welsh Power Group Limited,Non-TrUnit,Production (P),Production (P),-0.0088864,0.0,0.0,0,0,1
2,2__GFLEX001,OTHER,_G,54.1274635690884,-2.76997515496618,Flexitricity Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,49.0,0.0,0,1,1
2,2__GFLEX002,OTHER,_G,54.1274635690884,-2.76997515496618,Flexitricity Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,49.0,0.0,0,1,1
2,2__GFLEX003,OTHER,_G,54.1274635690884,-2.76997515496618,Flexitricity Limited,DEFAULT__G,Dynamic,Consumption (C),-0.0088864,49.0,0.0,0,1,1
E,E_COWE1,OCGT,_H,50.7462591723613,-1.28642079000161,RWE Generation UK plc,Cowes Power Station,Dynamic,Production (P),0.0250176,70.0,0.0,0,0,1
E,E_COWE2,OCGT,_H,50.7462591723613,-1.28642079000161,RWE Generation UK plc,Cowes Power Station,Dynamic,Production (P),0.0208273,70.0,-2.0,0,0,1
T,T_DIDCB5,CCGT,_H,51.6275049324662,-1.26620382117437,RWE Generation UK plc,Didcot B Power Station,Dynamic,Production (P),0.0208273,770.0,-10.0,0,0,1
T,T_DIDCB6,CCGT,_H,51.6275049324662,-1.26620382117437,RWE Generation UK plc,Didcot B Power Station,Dynamic,Production (P),0.0208273,720.0,-10.0,0,0,1
T,T_MRWD-1,CCGT,_H,50.8988305089815,-1.43718737640197,Marchwood Power Limited,Non-TrUnit,Dynamic,Production (P),0.0208273,920.0,-15.0,0,0,1
E,E_DIDC1G,OCGT,_H,51.6275582136788,-1.2662002610096,RWE Generation UK plc,Didcot OCGT Power Station,Production (P),Production (P),0.0208273,25.0,0.0,1,0,1
E,E_DIDC2G,OCGT,_H,51.6275582136788,-1.2662002610096,RWE Generation UK plc,Didcot OCGT Power Station,Production (P),Production (P),0.0208273,25.0,0.0,1,0,1
E,E_DIDC3G,OCGT,_H,51.6275582136788,-1.2662002610096,RWE Generation UK plc,Didcot OCGT Power Station,Production (P),Production (P),0.0208273,25.0,0.0,1,0,1
E,E_DIDC4G,OCGT,_H,51.6275582136788,-1.2662002610096,RWE Generation UK plc,Didcot OCGT Power Station,Production (P),Production (P),0.0208273,25.0,0.0,1,0,1
E,E_LSTWY-1,OTHER,_H,54.9840545649796,-1.71221431999841,Conrad Energy (Trading),DEFAULT__H,Consumption (C),Consumption (C),0.0208273,12.72,-1.0,1,1,1
T,T_RMPNO-2,WIND,_H,50.7074218713916,-0.218465390575314,Rampion Offshore Windfarm Ltd,Non-TrUnit,Dynamic,Production (P),0.0221547,200.1,-10.7,0,0,1
T,T_RMPNO-1,WIND,_H,50.7074218713916,-0.218465390575314,Rampion Offshore Windfarm Ltd,Non-TrUnit,Dynamic,Production (P),0.0221547,200.1,-10.7,0,0,1
E,E_DBFRM-1,OTHER,_H,51.2109881096262,-1.49350182273597,Conrad Energy (Trading),DEFAULT__H,Consumption (C),Consumption (C),0.0208273,20.0,-1.0,1,1,1
2,2__HANGE002,BATTERY,_H,51.6055840629742,-2.00339866271294,Limejump Energy Limited,DEFAULT__H,Dynamic,Consumption (C),0.0208273,50.0,-39.546,0,1,1
2,2__HLOND001,BATTERY,_H,51.2109881096262,-1.49350182273597,EDF Energy Customers Ltd,DEFAULT__H,Dynamic,Consumption (C),0.0250176,30.0,-35.708,0,1,1
E,E_BURGH-1,CCGT,_H,51.4304344021041,-1.00445865580484,SSEPG (Operations) Ltd,DEFAULT__H,Production (P),Production (P),0.0250176,96.0,-0.074,1,1,1
E,E_CHICK-1,CCGT,_H,50.6231434195125,-2.48958450722949,SSEPG (Operations) Ltd,DEFAULT__H,Production (P),Production (P),0.0250176,96.0,-0.074,1,1,1
2,2__HANGE004,BATTERY,_H,51.6055840629742,-2.00339866271294,Limejump Energy Limited,DEFAULT__H,Dynamic,Consumption (C),0.0208273,48.977,-51.835,0,1,1
2,2__HANGE005,OTHER,_H,51.6055840629742,-2.00339866271294,Limejump Energy Limited,DEFAULT__H,Dynamic,Consumption (C),0.0208273,5.88,0.0,0,1,1
E,E_BHOLB-1,BATTERY,_H,50.726363,-1.990098,Tesla Motors Limited,DEFAULT__H,Production (P),Production (P),0.0208273,7.12,-7.426,1,1,1
2,2__HSMAR001,OTHER,_H,51.2109881096262,-1.49350182273597,Smartestenergy Limited,DEFAULT__H,Dynamic,Consumption (C),0.0122856,0.0,0.0,0,1,0
V,V__HHABI001,BATTERY,_H,51.3765082339834,-2.15521098323383,Habitat Energy Limited,Non-TrUnit,Consumption (C),Consumption (C),0.0208273,0.0,0.0,0,0,1
2,2__HFLEX001,OTHER,_H,51.2109881096262,-1.49350182273597,Flexitricity Limited,DEFAULT__H,Dynamic,Consumption (C),0.0208273,49.0,0.0,0,1,1
V,V__HADEL001,OTHER,_H,51.2109881096262,-1.49350182273597,Adela Energy Ltd,Non-TrUnit,Production (P),Production (P),0.0178854,0.0,0.0,0,0,1
T,T_COWB-1,BATTERY,_H,51.7099988737866,-1.18940202818653,Pivoted Power LLP,Non-TrUnit,Consumption (C),Consumption (C),0.0208273,49.598,-49.762,1,0,1
2,2__HSMAE001,OTHER,_H,51.2109881096262,-1.49350182273597,Smartestenergy Limited,DEFAULT__H,Dynamic,Consumption (C),0.0208273,15.748,0.0,0,1,1
2,2__HSTAT001,BATTERY,_H,51.2109881096262,-1.49350182273597,Statkraft Markets Gmbh,DEFAULT__H,Dynamic,Consumption (C),0.0250176,50.0,-50.0,0,1,1
V,V__HWELS001,OTHER,_H,51.2109881096262,-1.49350182273597,Welsh Power Group Limited,Non-TrUnit,Production (P),Production (P),0.0208273,0.0,0.0,0,0,1
V,V__HWELS002,OTHER,_H,51.2109881096262,-1.49350182273597,Welsh Power Group Limited,Non-TrUnit,Production (P),Production (P),0.0208273,0.0,0.0,0,0,1
E,E_HAWKB-1,BATTERY,_H,51.0151213917745,-2.20495475779031,Tesla Motors Limited,DEFAULT__H,Consumption (C),Consumption (C),0.0208273,20.0,-20.0,1,1,1
2,2__HSTAT002,BATTERY,_H,51.2109881096262,-1.49350182273597,Statkraft Markets Gmbh,DEFAULT__H,Dynamic,Consumption (C),0.0208273,50.0,-50.0,0,1,1
E,E_SEVINGTN,OTHER,_J,51.1302378129524,0.910112081868659,UK Power Reserve Limited,DEFAULT__J,Consumption (C),Consumption (C),0.0221547,10.3,0.0,1,1,1
E,E_SHOS-1,CCGT,_J,50.8295106350018,-0.229161098993493,VPI Power Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,460.0,-16.0,0,0,1
T,T_DAMC-1,CCGT,_J,51.4256497569671,0.600554822524471,VPI Power Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,820.0,-12.0,0,0,1
T,T_GRAI1G,OCGT,_J,51.4432444126366,0.707687619724854,Uniper UK Limited,GRAIN PS TRADING UNIT,Dynamic,Production (P),0.0221547,30.0,0.0,0,0,1
T,T_GRAI4G,OCGT,_J,51.4432444126366,0.707687619724854,Uniper UK Limited,GRAIN PS TRADING UNIT,Dynamic,Production (P),0.0221547,29.67,0.0,0,0,1
T,T_MEDP-1,CCGT,_J,51.4399284128095,0.69090646649763,Medway Power Ltd,Non-TrUnit,Dynamic,Production (P),0.0221547,750.0,-30.0,0,0,1
T,T_GRAI-6,CCGT,_J,51.4435456550249,0.707774546501135,Uniper UK Limited,GRAIN PS TRADING UNIT,Dynamic,Production (P),0.0221547,468.0,-14.0,0,0,1
T,T_GRAI-7,CCGT,_J,51.4435456550249,0.707774546501135,Uniper UK Limited,GRAIN PS TRADING UNIT,Dynamic,Production (P),0.0221547,468.0,-14.0,0,0,1
T,T_GRAI-8,CCGT,_J,51.4435456550249,0.707774546501135,Uniper UK Limited,GRAIN PS TRADING UNIT,Dynamic,Production (P),0.0221547,468.0,-14.0,0,0,1
T,T_LARYW-1,WIND,_J,51.65,1.36,London Array Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,171.0,-10.32,0,0,1
T,T_LARYW-2,WIND,_J,51.65,1.36,London Array Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,171.0,-10.56,0,0,1
T,T_LARYW-3,WIND,_J,51.65,1.36,London Array Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,171.0,-10.56,0,0,1
T,T_LARYW-4,WIND,_J,51.65,1.36,London Array Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,171.0,-10.56,0,0,1
T,T_THNTO-1,WIND,_J,51.4299,1.6334,Thanet Offshore Wind Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,287.699,-3.0,0,0,1
T,T_THNTO-2,WIND,_J,51.4206,1.5927,Thanet Offshore Wind Limited,Non-TrUnit,Dynamic,Production (P),0.0221547,230.159,-3.0,0,0,1
2,2__JUKPR001,OTHER,_J,51.1480059423087,0.327831772743586,UK Power Reserve Limited,DEFAULT__J,Dynamic,Consumption (C),0.0221547,31.0,-2.0,0,1,1
T,T_KEMB-1,BATTERY,_J,51.3670238988198,0.758867811877129,EDF Energy Customers Ltd,Non-TrUnit,Consumption (C),Consumption (C),0.0221547,49.0,-49.2,1,0,1
2,2__JSTAT001,OTHER,_J,51.1480059423087,0.327831772743586,Statkraft Markets Gmbh,DEFAULT__J,Dynamic,Consumption (C),0.0221547,22.0,-2.0,0,1,1
2,2__JSTAT002,BATTERY,_J,51.1480059423087,0.327831772743586,Statkraft Markets Gmbh,DEFAULT__J,Dynamic,Consumption (C),0.0221547,6.0,-8.0,0,1,1
E,E_CONTB-1,BATTERY,_J,50.9559442809369,-0.16216950005531,Tesla Motors Limited,DEFAULT__J,Production (P),Production (P),0.0221547,35.8,-34.445,1,1,1
E,E_CROYD-2,CCGT,_J,51.3766387578017,-0.116228594841738,Whitetower Energy Limited,DEFAULT__J,Production (P),Production (P),0.0221547,50.0,-6.0,1,1,1
V,V__JZENO001,BATTERY,_J,50.9748881368742,-0.227617156389024,BESS Holdco 2 Limited,Non-TrUnit,Dynamic,Consumption (C),0.0221547,0.0,0.0,0,0,1
E,E_ABERDARE,CCGT,_K,51.6974957021573,-3.41620759431236,UK Power Reserve Limited,DEFAULT__K,Consumption (C),Consumption (C),0.0055696,15.44,0.0,1,1,1
E,E_SOLUTIA,OTHER,_K,51.5901399504758,-3.00007510437639,UK Power Reserve Limited,DEFAULT__K,Consumption (C),Consumption (C),0.0055696,15.8,0.0,1,1,1
T,T_PEMB-11,CCGT,_K,51.6830030801772,-4.99486537080063,RWE Generation UK plc,Pembroke Power Station,Dynamic,Production (P),0.0055696,475.0,-11.0,0,0,1
T,T_PEMB-21,CCGT,_K,51.6830030801772,-4.99486537080063,RWE Generation UK plc,Pembroke Power Station,Dynamic,Production (P),0.0055696,475.0,-11.0,0,0,1
T,T_PEMB-31,CCGT,_K,51.6830030801772,-4.99486537080063,RWE Generation UK plc,Pembroke Power Station,Dynamic,Production (P),0.0055696,475.0,-11.0,0,0,1
T,T_PEMB-41,CCGT,_K,51.6830030801772,-4.99486537080063,RWE Generation UK plc,Pembroke Power Station,Dynamic,Production (P),0.0055696,475.0,-11.0,0,0,1
T,T_PEMB-51,CCGT,_K,51.6830030801772,-4.99486537080063,RWE Generation UK plc,Pembroke Power Station,Dynamic,Production (P),0.0055696,475.0,-11.0,0,0,1
T,T_PNYCW-1,WIND,_K,51.6981734483921,-3.53207005728245,Pen y Cymoedd Wind Farm LTD,PYC Trading Unit,Dynamic,Production (P),0.0055696,228.0,-17.16,0,0,1
